District,State,Area_km2,Population
Adilabad,Andhra Pradesh,16105,"27,41,239"
Agra,Uttar Pradesh,4041,"44,18,797"
Ahmadabad,Gujarat,8107,"72,14,225"
Ahmadnagar,Maharashtra,17048,"45,43,159"
Aizawl,Mizoram,3576,"4,00,309"
Ajmer,Rajasthan,8481,"25,83,052"
Akola,Maharashtra,5676,"18,13,906"
Alappuzha,Kerala,1415,"21,27,789"
Aligarh,Uttar Pradesh,3650,"36,73,889"
Alirajpur,Madhya Pradesh,3182,"7,28,999"
Allahabad,Uttar Pradesh,5482,"59,54,391"
Almora,Uttarakhand,3144,"6,22,506"
Alwar,Rajasthan,8380,"36,74,179"
Ambala,Haryana,1574,"11,28,350"
Ambedkar Nagar,Uttar Pradesh,2350,"23,97,888"
Amravati,Maharashtra,12210,"28,88,445"
Amreli,Gujarat,7397,"15,14,190"
Amritsar,Punjab,2683,"24,90,656"
Anand,Gujarat,3204,"20,92,745"
Anantapur,Andhra Pradesh,19130,"40,81,148"
Anantnag,Jammu and Kashmir,3574,"10,78,692"
Anjaw,Arunachal Pradesh,6190,"21,167"
Anugul,Orissa,6375,"12,73,821"
Anuppur,Madhya Pradesh,3747,"7,49,237"
Araria,Bihar,2830,"28,11,569"
Ariyalur,Tamil Nadu,1940,"7,54,894"
Arwal,Bihar,638,"7,00,843"
Ashoknagar,Madhya Pradesh,4674,"8,45,071"
Auraiya,Uttar Pradesh,2016,"13,79,545"
Aurangabad,Maharashtra,3305,"25,40,073"
Aurangabad,Maharashtra,10107,"37,01,282"
Azamgarh,Uttar Pradesh,4054,"46,13,913"
Badgam,Jammu and Kashmir,1361,"7,53,745"
Bagalkot,Karnataka,6552,"18,89,752"
Bageshwar,Uttarakhand,2241,"2,59,898"
Baghpat,Uttar Pradesh,1321,"13,03,048"
Bahraich,Uttar Pradesh,5237,"34,87,731"
Baksa,Assam,2457,"9,50,075"
Balaghat,Madhya Pradesh,9229,"17,01,698"
Balangir,Orissa,6575,"16,48,997"
Baleshwar,Orissa,3806,"23,20,529"
Ballia,Uttar Pradesh,2981,"32,39,774"
Balrampur,Uttar Pradesh,3349,"21,48,665"
Banaskantha,Gujarat,10743,"31,20,506"
Banda,Uttar Pradesh,4408,"17,99,410"
Bandipora,Jammu and Kashmir,345,"3,92,232"
Bangalore,Karnataka,2196,"96,21,551"
Bangalore Rural,Karnataka,2298,"9,90,923"
Banka,Bihar,3020,"20,34,763"
Bankura,West Bengal,6882,"35,96,674"
Banswara,Rajasthan,4522,"17,97,485"
Barabanki,Uttar Pradesh,4402,"32,60,699"
Baramula,Jammu and Kashmir,4243,"10,08,039"
Baran,Rajasthan,6992,"12,22,755"
Barddhaman,West Bengal,7024,"77,17,563"
Bareilly,Uttar Pradesh,4120,"44,48,359"
Bargarh,Orissa,5837,"14,81,255"
Barmer,Rajasthan,28387,"26,03,751"
Barnala,Punjab,1482,"5,95,527"
Barpeta,Assam,2282,"16,93,622"
Barwani,Madhya Pradesh,5427,"13,85,881"
Bastar,Chhattisgarh,10470,"14,13,199"
Basti,Uttar Pradesh,2688,"24,64,464"
Bathinda,Punjab,3353,"13,88,525"
Baudh,Orissa,3098,"4,41,162"
Begusarai,Bihar,1918,"29,70,541"
Belgaum,Karnataka,13433,"47,79,661"
Bellary,Karnataka,8461,"24,52,595"
Betul,Madhya Pradesh,10043,"15,75,362"
Bhadrak,Orissa,2505,"15,06,337"
Bhagalpur,Bihar,2569,"30,37,766"
Bhandara,Maharashtra,4087,"12,00,334"
Bharatpur,Rajasthan,5066,"25,48,462"
Bharuch,Gujarat,6509,"15,51,019"
Bhavnagar,Gujarat,10034,"28,80,365"
Bhilwara,Rajasthan,10455,"24,08,523"
Bhind,Madhya Pradesh,4459,"17,03,005"
Bhiwani,Haryana,4778,"16,34,445"
Bhojpur,Bihar,2395,"27,28,407"
Bhopal,Madhya Pradesh,2772,"23,71,061"
Bid,Maharashtra,10693,"25,85,049"
Bidar,Karnataka,5448,"17,03,300"
Bijapur,Karnataka,8530,"2,55,230"
Bijapur,Karnataka,10498,"21,77,331"
Bijnor,Uttar Pradesh,4561,"36,82,713"
Bikaner,Rajasthan,30239,"23,63,937"
Bilaspur,Chhattisgarh,1167,"3,81,956"
Bilaspur,Chhattisgarh,8272,"26,63,629"
Birbhum,West Bengal,4545,"35,02,404"
Bishnupur,Manipur,496,"2,37,399"
Bokaro,Jharkhand,2883,"20,62,330"
Bongaigaon,Assam,1093,"7,38,804"
Budaun,Uttar Pradesh,5168,"36,81,896"
Bulandshahar,Uttar Pradesh,4512,"34,99,171"
Buldana,Maharashtra,9661,"25,86,258"
Bundi,Rajasthan,5776,"11,10,906"
Burhanpur,Madhya Pradesh,3427,"7,57,847"
Buxar,Bihar,1703,"17,06,352"
Cachar,Assam,3786,"17,36,617"
Central,#N/A,21,"5,82,320"
Chamarajanagar,Karnataka,5648,"10,20,791"
Chamba,Himachal Pradesh,6522,"5,19,080"
Chamoli,Uttarakhand,8030,"3,91,605"
Champawat,Uttarakhand,1766,"2,59,648"
Champhai,Mizoram,3185,"1,25,745"
Chandauli,Uttar Pradesh,2541,"19,52,756"
Chandel,Manipur,3313,"1,44,182"
Chandigarh,Chandigarh,114,"10,55,450"
Chandrapur,Maharashtra,11443,"22,04,307"
Changlang,Arunachal Pradesh,4662,"1,48,226"
Chatra,Jharkhand,3718,"10,42,886"
Chennai,Tamil Nadu,175,"46,46,732"
Chhatarpur,#N/A,8687,"17,62,375"
Chhindwara,Madhya Pradesh,11815,"20,90,922"
Chikkaballapura,Karnataka,4244,"12,55,104"
Chikmagalur,Karnataka,7202,"11,37,961"
Chirang,Assam,1923,"4,82,162"
Chitradurga,Karnataka,8436,"16,59,456"
Chitrakoot,Uttar Pradesh,3216,"9,91,730"
Chittaurgarh,Rajasthan,7822,"15,44,338"
Chittoor,Andhra Pradesh,15152,"41,74,064"
Churachandpur,Manipur,4570,"2,74,143"
Churu,Rajasthan,13835,"20,39,547"
Coimbatore,Tamil Nadu,4732,"34,58,045"
Cuddalore,Tamil Nadu,3703,"26,05,914"
Cuttack,Orissa,3932,"26,24,470"
Dadra & Nagar Haveli,#N/A,491,"3,43,709"
Dahod,#N/A,3642,"21,27,086"
Dakshin Bastar Dantewada,#N/A,8298,"5,33,638"
Dakshin Dinajpur,West Bengal,2219,"16,76,276"
Dakshina Kannada,Karnataka,4861,"20,89,649"
Daman,Daman and Diu,72,"1,91,173"
Damoh,Madhya Pradesh,7306,"12,64,219"
Darbhanga,Bihar,2279,"39,37,385"
Darjiling,West Bengal,3149,"18,46,823"
Darrang,Assam,1585,"9,28,500"
Datia,Madhya Pradesh,2902,"7,86,754"
Dausa,Rajasthan,3432,"16,34,409"
Davanagere,Karnataka,5924,"19,45,497"
Debagarh,Orissa,2940,"3,12,520"
Dehradun,Uttarakhand,3088,"16,96,694"
Deoghar,Jharkhand,2477,"14,92,073"
Deoria,Uttar Pradesh,2540,"31,00,946"
Dewas,Madhya Pradesh,7020,"15,63,715"
Dhalai,Tripura,2400,"3,78,230"
Dhamtari,Chhattisgarh,4084,"7,99,781"
Dhanbad,Jharkhand,2040,"26,84,487"
Dhar,Madhya Pradesh,8153,"21,85,793"
Dharmapuri,Tamil Nadu,4497,"15,06,843"
Dharwad,Karnataka,4260,"18,47,023"
Dhaulpur,Rajasthan,3033,"12,06,516"
Dhemaji,Assam,3237,"6,86,133"
Dhenkanal,Orissa,4452,"11,92,811"
Dhubri,Assam,2176,"19,49,258"
Dhule,Maharashtra,7195,"20,50,862"
Dibang Valley,Arunachal Pradesh,9129,"8,004"
Dibrugarh,Assam,3381,"13,26,335"
Dima Hasao,Assam,4888,"2,14,102"
Dimapur,Nagaland,927,"3,78,811"
Dindigul,Tamil Nadu,6036,"21,59,775"
Dindori,Madhya Pradesh,7470,"7,04,524"
Diu,Daman and Diu,39,"52,074"
Doda,Jammu and Kashmir,8912,"4,09,936"
Dumka,Jharkhand,3761,"13,21,442"
